epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,245.443,0.47898,0.40843,0.00177,0.94016,0.94329,0.98039,0.89485,0.42005,0.34092,0.00183,0.000247563,0.000247563,0.000247563
63,249.234,0.48807,0.41719,0.00171,0.96869,0.93648,0.98321,0.90329,0.40411,0.3282,0.00176,0.000241375,0.000241375,0.000241375
64,253.132,0.49344,0.39952,0.00176,0.94986,0.94319,0.98237,0.90466,0.39465,0.32399,0.00173,0.000235188,0.000235188,0.000235188
65,256.948,0.49431,0.41128,0.00186,0.9405,0.95189,0.98101,0.90341,0.39188,0.32338,0.0017,0.000229,0.000229,0.000229
66,260.748,0.4864,0.39186,0.00174,0.94208,0.95238,0.98119,0.9039,0.39552,0.32422,0.00172,0.000222813,0.000222813,0.000222813
67,264.53,0.48475,0.39027,0.00173,0.95422,0.94307,0.98186,0.90241,0.40891,0.32244,0.00179,0.000216625,0.000216625,0.000216625
68,268.32,0.4789,0.40854,0.00172,0.95289,0.94614,0.98155,0.90575,0.39175,0.31477,0.00171,0.000210437,0.000210437,0.000210437
69,272.116,0.48104,0.39081,0.0018,0.93724,0.95566,0.97954,0.8988,0.39574,0.31484,0.00173,0.00020425,0.00020425,0.00020425
70,275.865,0.48237,0.38696,0.0018,0.94673,0.94551,0.97978,0.90143,0.40018,0.31329,0.00176,0.000198063,0.000198063,0.000198063
71,279.631,0.47815,0.3744,0.00174,0.95229,0.94054,0.98052,0.90597,0.39423,0.30335,0.00172,0.000191875,0.000191875,0.000191875
72,283.428,0.48365,0.40114,0.00176,0.95365,0.94801,0.98267,0.90287,0.39144,0.30121,0.00171,0.000185688,0.000185688,0.000185688
73,287.199,0.46324,0.38183,0.0017,0.96366,0.95152,0.98327,0.90476,0.39288,0.29798,0.00173,0.0001795,0.0001795,0.0001795
74,290.988,0.46588,0.37709,0.0017,0.9613,0.945,0.98401,0.90582,0.40091,0.29908,0.00175,0.000173313,0.000173313,0.000173313
75,294.803,0.47151,0.38873,0.00165,0.94937,0.94944,0.98339,0.90664,0.39096,0.29647,0.00171,0.000167125,0.000167125,0.000167125
76,298.604,0.46809,0.38408,0.00172,0.96715,0.93683,0.98284,0.90789,0.38653,0.29361,0.00169,0.000160938,0.000160938,0.000160938
77,302.479,0.4706,0.37474,0.00173,0.94975,0.95423,0.98232,0.90403,0.40326,0.2988,0.00175,0.00015475,0.00015475,0.00015475
78,306.285,0.4762,0.38801,0.00171,0.94463,0.96115,0.9832,0.90341,0.39174,0.29123,0.00171,0.000148563,0.000148563,0.000148563
79,310.078,0.46245,0.36322,0.00165,0.95652,0.95217,0.98333,0.90838,0.38885,0.28475,0.0017,0.000142375,0.000142375,0.000142375
80,313.924,0.47395,0.36903,0.00171,0.95199,0.95711,0.98348,0.91029,0.38873,0.28771,0.00169,0.000136187,0.000136187,0.000136187
81,317.733,0.46816,0.36844,0.00172,0.95333,0.95677,0.98415,0.91099,0.38124,0.28407,0.00167,0.00013,0.00013,0.00013
82,321.545,0.46885,0.35449,0.00168,0.96454,0.94462,0.98426,0.90842,0.39554,0.29198,0.00171,0.000123812,0.000123812,0.000123812
83,325.316,0.47326,0.3668,0.00171,0.95935,0.94773,0.98316,0.90592,0.38798,0.28733,0.00169,0.000117625,0.000117625,0.000117625
84,329.082,0.46823,0.35609,0.00172,0.95987,0.94872,0.98369,0.90906,0.38521,0.28652,0.00167,0.000111438,0.000111438,0.000111438
